Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
1	TR	A0A3Y7NFX6	Beta-lactamase OS=Salmonella enteritidis OX=149539 GN=A3V28_21715 PE=3 SV=1	Salmonella enteritidis	286	1348	100.0	100.0	0.0
2	TR	D3INY1	Beta-lactamase OS=Escherichia coli OX=562 PE=1 SV=1	Escherichia coli	286	1348	100.0	100.0	0.0
3	TR	A0A722GC36	Beta-lactamase OS=Salmonella enterica OX=28901 GN=G1358_26485 PE=3 SV=1	Salmonella enterica	286	1348	100.0	100.0	0.0
4	TR	A0A5W6E1N3	Beta-lactamase OS=Salmonella infantis OX=595 GN=blaTEM PE=3 SV=1	Salmonella infantis	286	1348	100.0	100.0	0.0
5	TR	A0A6X8N212	Beta-lactamase OS=Salmonella enterica subsp. enterica serovar Give OX=46626 GN=GB173_23750 PE=3 SV=1	Salmonella enterica subsp. enterica serovar Give	286	1348	100.0	100.0	0.0
6	TR	A0A075TJQ6	Beta-lactamase OS=Proteus mirabilis OX=584 GN=blaTEM-135 PE=3 SV=1	Proteus mirabilis	286	1348	100.0	100.0	0.0
7	TR	H2EST1	Beta-lactamase OS=Klebsiella pneumoniae OX=573 GN=blaTEM-135 PE=3 SV=1	Klebsiella pneumoniae	286	1348	100.0	100.0	0.0
8	TR	A0A3Y4CZT5	Beta-lactamase OS=Salmonella enterica I OX=59201 GN=F0H97_23225 PE=3 SV=1	Salmonella enterica I	286	1348	100.0	100.0	0.0
9	TR	A0A5X8GBI9	Beta-lactamase OS=Salmonella enterica subsp. enterica serovar Kottbus OX=224727 GN=EUP90_22060 PE=3 SV=1	Salmonella enterica subsp. enterica serovar Kottbus	286	1348	100.0	100.0	0.0
10	TR	A0A6Y3PN06	Beta-lactamase OS=Salmonella hadar OX=149385 GN=GB072_22780 PE=3 SV=1	Salmonella hadar	286	1348	100.0	100.0	0.0
11	TR	D0EW08	Beta-lactamase OS=Neisseria gonorrhoeae OX=485 GN=blaTEM-135 PE=3 SV=1	Neisseria gonorrhoeae	286	1348	100.0	100.0	0.0
12	TR	A0A2I6SSC9	Beta-lactamase OS=Escherichia coli OX=562 GN=blaTEM PE=3 SV=1	Escherichia coli	286	1345	99.6	100.0	0.0
13	TR	A0A724BJC8	Beta-lactamase OS=Salmonella enterica subsp. enterica serovar Brandenburg OX=149387 GN=G2267_22925 PE=3 SV=1	Salmonella enterica subsp. enterica serovar Brandenburg	286	1344	99.6	100.0	0.0
14	TR	A0A723WA94	Beta-lactamase OS=Salmonella enterica subsp. enterica serovar Brandenburg OX=149387 GN=blaTEM PE=3 SV=1	Salmonella enterica subsp. enterica serovar Brandenburg	276	1344	99.6	100.0	0.0
15	TR	A0A0A0VDI5	Beta-lactamase (Fragment) OS=Neisseria gonorrhoeae OX=485 GN=blaTEM-220 PE=3 SV=1	Neisseria gonorrhoeae	286	1344	99.6	99.6	0.0
16	TR	A0A2R3NWP2	Beta-lactamase OS=Escherichia coli OX=562 PE=3 SV=1	Escherichia coli	286	1344	99.6	100.0	0.0
17	TR	Q8KQ72	Beta-lactamase OS=Escherichia coli OX=562 GN=blaTEM-106 PE=3 SV=1	Escherichia coli	286	1344	99.6	100.0	0.0
18	TR	Q6IT48	Beta-lactamase OS=Escherichia coli OX=562 GN=blaTEM-126 PE=3 SV=1	Escherichia coli	286	1344	99.6	100.0	0.0
19	TR	A1YTM6	Beta-lactamase OS=Proteus mirabilis OX=584 GN=blaTEM-159 PE=3 SV=1	Proteus mirabilis	286	1344	99.6	100.0	0.0
20	TR	A0A481S261	Beta-lactamase OS=Klebsiella variicola OX=244366 GN=blaTEM PE=3 SV=1	Klebsiella variicola	286	1343	99.6	99.6	0.0
21	TR	A0A6G6SPC8	Beta-lactamase OS=Proteus vulgaris OX=585 GN=GTH24_20285 PE=3 SV=1	Proteus vulgaris	286	1342	99.6	99.6	0.0
