Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
1	TR	A0A837HAF9	Voltage-gated potassium channel OS=Streptomyces sp. WM6391 OX=1415559 GN=TR66_03005 PE=4 SV=1	Streptomyces sp. WM6391	157	489	99.0	99.0	3.5e-61
2	TR	A0A7U9DYN2	Voltage-gated potassium channel OS=Streptomyces lividans 1326 OX=1200984 GN=SLI_7888 PE=4 SV=1	Streptomyces lividans 1326	157	489	99.0	99.0	3.5e-61
3	TR	A0AA41ARS5	PH-gated potassium channel KcsA OS=Streptomyces sp. RK76 OX=2824896 GN=kcsA PE=4 SV=1	Streptomyces sp. RK76	160	489	99.0	99.0	3.9e-61
4	TR	A0A7K2UST1	pH-gated potassium channel KcsA OS=Streptomyces sp. SID7813 OX=2690330 GN=kcsA PE=4 SV=1	Streptomyces sp. SID7813	160	489	99.0	99.0	3.9e-61
5	TR	A0A4S2VKE3	pH-gated potassium channel KcsA OS=Streptomyces sp. LRa12 OX=2563107 GN=E6R61_32065 PE=4 SV=1	Streptomyces sp. LRa12	160	489	99.0	99.0	3.9e-61
6	TR	A0A7U8YMI2	Voltage-gated potassium channel OS=Streptomyces lividans TK24 OX=457428 GN=SSPG_00189 PE=4 SV=1	Streptomyces lividans TK24	160	489	99.0	99.0	3.9e-61
7	SP	P0A334	pH-gated potassium channel KcsA OS=Streptomyces lividans OX=1916 GN=kcsA PE=1 SV=1	Streptomyces lividans	160	489	99.0	99.0	3.9e-61
8	SP	P0A333	pH-gated potassium channel KcsA OS=Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145) OX=100226 GN=kcsA PE=1 SV=1	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	160	489	99.0	99.0	3.9e-61
9	TR	A0A346CBS0	Voltage-gated potassium channel OS=Streptomyces sp. CB09001 OX=2083284 GN=C4J65_34260 PE=4 SV=1	Streptomyces sp. CB09001	160	483	96.9	99.0	3.2e-60
10	TR	A0A6G3T7G7	pH-gated potassium channel KcsA OS=Streptomyces rubrogriseus OX=194673 GN=kcsA PE=4 SV=1	Streptomyces rubrogriseus	160	480	96.9	97.9	9.2e-60
