Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
1	TR	A0A2Y9P5K9	Mitogen-activated protein kinase 14 OS=Delphinapterus leucas OX=9749 GN=MAPK14 PE=4 SV=1	Delphinapterus leucas	360	1820	99.7	99.7	0.0
2	TR	A0A8C4MUM3	Mitogen-activated protein kinase 14 OS=Equus asinus OX=9793 GN=MAPK14 PE=4 SV=1	Equus asinus	360	1820	99.7	99.7	0.0
3	TR	A0A9W3EGZ5	Mitogen-activated protein kinase 14 OS=Camelus bactrianus OX=9837 GN=MAPK14 PE=4 SV=1	Camelus bactrianus	360	1820	99.7	99.7	0.0
4	TR	A0A2K6TTF9	Mitogen-activated protein kinase 14 OS=Saimiri boliviensis boliviensis OX=39432 GN=MAPK14 PE=4 SV=1	Saimiri boliviensis boliviensis	360	1820	99.7	99.7	0.0
5	TR	A0A384BFI2	Mitogen-activated protein kinase 14 OS=Balaenoptera acutorostrata scammoni OX=310752 GN=MAPK14 PE=4 SV=1	Balaenoptera acutorostrata scammoni	360	1820	99.7	99.7	0.0
6	TR	A0A8B7KIM5	Mitogen-activated protein kinase 14 OS=Camelus ferus OX=419612 GN=MAPK14 PE=4 SV=1	Camelus ferus	360	1820	99.7	99.7	0.0
7	TR	A0A6J3FW41	Mitogen-activated protein kinase 14 OS=Sapajus apella OX=9515 GN=MAPK14 PE=4 SV=1	Sapajus apella	360	1820	99.7	99.7	0.0
8	TR	A0A8C9E807	Mitogen-activated protein kinase 14 OS=Phocoena sinus OX=42100 GN=MAPK14 PE=4 SV=1	Phocoena sinus	360	1820	99.7	99.7	0.0
9	TR	A0A6P5DS89	Mitogen-activated protein kinase 14 OS=Bos indicus OX=9915 GN=MAPK14 PE=4 SV=1	Bos indicus	360	1820	99.7	99.7	0.0
10	TR	A0A8B9XEZ1	Mitogen-activated protein kinase 14 OS=Bos mutus grunniens OX=30521 GN=MAPK13 PE=4 SV=1	Bos mutus grunniens	360	1820	99.7	99.7	0.0
11	TR	A0A341D6G6	Mitogen-activated protein kinase 14 OS=Neophocaena asiaeorientalis asiaeorientalis OX=1706337 GN=MAPK14 PE=4 SV=1	Neophocaena asiaeorientalis asiaeorientalis	360	1820	99.7	99.7	0.0
12	TR	A0AAD4Y2R5	Uncharacterized protein OS=Ovis ammon polii OX=230172 GN=MG293_019124 PE=4 SV=1	Ovis ammon polii	360	1820	99.7	99.7	0.0
13	TR	G3SVM3	Mitogen-activated protein kinase 14 OS=Loxodonta africana OX=9785 GN=MAPK14 PE=4 SV=1	Loxodonta africana	360	1820	99.7	99.7	0.0
14	TR	A0A9L0RKD4	Mitogen-activated protein kinase 14 OS=Equus caballus OX=9796 GN=MAPK14 PE=1 SV=1	Equus caballus	360	1820	99.7	99.7	0.0
15	TR	A0A6P3RCN5	Mitogen-activated protein kinase 14 OS=Pteropus vampyrus OX=132908 GN=MAPK14 PE=4 SV=1	Pteropus vampyrus	360	1820	99.7	99.7	0.0
16	TR	A0A2U4CIE8	Mitogen-activated protein kinase 14 OS=Tursiops truncatus OX=9739 GN=MAPK14 PE=4 SV=1	Tursiops truncatus	360	1820	99.7	99.7	0.0
17	TR	A0A340Y744	Mitogen-activated protein kinase 14 OS=Lipotes vexillifer OX=118797 GN=MAPK14 PE=4 SV=1	Lipotes vexillifer	360	1820	99.7	99.7	0.0
18	TR	A0A2R9C8T7	Mitogen-activated protein kinase 14 OS=Pan paniscus OX=9597 GN=MAPK14 PE=4 SV=1	Pan paniscus	360	1820	99.7	99.7	0.0
19	TR	A0A7J8KC32	Mitogen-activated protein kinase 14 OS=Rousettus aegyptiacus OX=9407 GN=HJG63_012987 PE=4 SV=1	Rousettus aegyptiacus	360	1820	99.7	99.7	0.0
20	TR	A0A2K5F7X1	Mitogen-activated protein kinase 14 OS=Aotus nancymaae OX=37293 GN=MAPK14 PE=4 SV=1	Aotus nancymaae	360	1820	99.7	99.7	0.0
21	TR	A0A2Y9SMC1	Mitogen-activated protein kinase 14 OS=Physeter macrocephalus OX=9755 GN=MAPK14 PE=4 SV=1	Physeter macrocephalus	360	1820	99.7	99.7	0.0
22	TR	A0A8C8Z9L2	Mitogen-activated protein kinase 14 OS=Prolemur simus OX=1328070 GN=MAPK14 PE=4 SV=1	Prolemur simus	360	1820	99.7	99.7	0.0
23	TR	A0A6D2XRE1	Mitogen-activated protein kinase 14 OS=Pan troglodytes OX=9598 GN=CK820_G0007078 PE=4 SV=1	Pan troglodytes	360	1820	99.7	99.7	0.0
24	TR	A0A4W2DU54	Mitogen-activated protein kinase 14 OS=Bos indicus x Bos taurus OX=30522 GN=MAPK14 PE=4 SV=1	Bos indicus x Bos taurus	360	1820	99.7	99.7	0.0
25	TR	A0A6P3CX87	Mitogen-activated protein kinase 14 OS=Ovis aries OX=9940 GN=JEQ12_010299 PE=4 SV=1	Ovis aries	360	1820	99.7	99.7	0.0
26	TR	A0A3Q1LTT9	mitogen-activated protein kinase OS=Bos taurus OX=9913 GN=MAPK14 PE=4 SV=2	Bos taurus	360	1820	99.7	99.7	0.0
27	TR	A0A8C6BF88	Mitogen-activated protein kinase 14 OS=Monodon monoceros OX=40151 GN=MAPK14 PE=4 SV=1	Monodon monoceros	360	1820	99.7	99.7	0.0
28	TR	A0A2K5RF58	Mitogen-activated protein kinase 14 OS=Cebus imitator OX=2715852 PE=4 SV=1	Cebus imitator	360	1820	99.7	99.7	0.0
29	TR	A0A6J0W554	Mitogen-activated protein kinase 14 OS=Odocoileus virginianus texanus OX=9880 GN=MAPK14 PE=4 SV=1	Odocoileus virginianus texanus	360	1820	99.7	99.7	0.0
30	TR	A0A6P3I7U2	Mitogen-activated protein kinase 14 OS=Bison bison bison OX=43346 GN=MAPK14 PE=4 SV=1	Bison bison bison	360	1820	99.7	99.7	0.0
31	TR	A0A8B8YZB2	Mitogen-activated protein kinase 14 OS=Balaenoptera musculus OX=9771 GN=MAPK14 PE=4 SV=1	Balaenoptera musculus	360	1820	99.7	99.7	0.0
32	TR	B7TJ15	Mitogen-activated protein kinase 14 OS=Ovis aries OX=9940 GN=MAPK14 PE=2 SV=1	Ovis aries	360	1820	99.7	99.7	0.0
